utterance,expected_intent
"Sir my  atm card lost one week ago some were,but i found out my old atm card, so kindly unlock my same old atm card  now  thanks you",Card Controls
If my card is locked It will not automatic debit any transaction ?,Card Controls
Hello I want to block my old debit card and request for new one,Card Controls
How to blocked  keeta mobile application and my card details save on someone account,Card Controls
I need to changes my atm card because my card expired,Card Controls
I lost my card last month so I blocked it,Card Controls
How to pause the physical debit card?,Card Controls
I already block my card .how long you will take to deliver me new debit card,Card Controls
i want to unblock and request to reactive my previous card number,Card Controls
We are trying to contact you to address a security concern on your Mashreq Card ending with 5048.For your safety we have blocked your card. Pls call 04-424-6666,Card Controls
How can i reactive my previous card number,Card Controls
My card is blocked i need to replace it,Card Controls
My card  had Been blocked in exercise incorrect pin entrie in Ajman bank,Card Controls
i want to know that why my debit card wifi is not working,Card Controls
I've received a call that my card has been blocked,Card Controls
my debit card not working id you don't understand allow me to talk with the agent,Card Controls
How can I pay with my card as it is blocked now,Card Controls
I always received a voice call that my credit card still blocked,Card Controls
What is predefined to unlock my card,Card Controls
How can I temporarily suspend the account? I don't want to receive a transfer to my account?,Card Controls
"Hi, my account is frozen for debit",Card Controls
I tried to add my card to Tamara and it is not working why is that?,Card Controls
"Hello, I'm trying to use my debit card but it's not working",Card Controls
I was doing a withdrawal and my card got blocked,Card Controls
I contacted an agent yesterday and they told me my card will be unblocked within 24hrs??,Card Controls
Hello inwant to make sure my credit card is unlocked,Card Controls
Hello I tried using my card through Apple pad not working many times,Card Controls
I have already blocked the card. I want to talk to someone.,Card Controls
Iwant to know why it's bloocked,Card Controls
My card is blocked iwant money from machine but inot able to take because it's bloocked,Card Controls
I lost my debit card and I dont have details also,Card Controls
Just had a phone call saying my card has been blocked. Is it true ?,Card Controls
I lost my debit card i need to replace the card,Card Controls
6399 my bloched in my card how many days returning in my account,Card Controls
"I got message that my card booked, i want to unblock it again",Card Controls
We are trying to contact you to address a security concern on your Mashreq Card ending with 4483.For your safety we have blocked your card. Pls call 04-424-6666,Card Controls
2753 my new atm card I'm block my old card,Card Controls
"My card is not working since 4 month, I am paying every month for nothing",Card Controls
"We are trying to contact you to address a security concern on your Mashreq Card ending with 0607.For your safety we have blocked your card. Call 04 4244123

I have received this message",Card Controls
I just need to speak with a service officer to unblock or enable my card for SEWA online payment. Please connect me now.,Card Controls
I have blocked my first debit card now i  want to replace its,Card Controls
No option to block and replace the debit card in the app connect me to agent to request one,Card Controls
I did my card lock by my app btt now I can't unlock,Card Controls
Hello why you blocked my credit card?how can I unblock it?,Card Controls
"I was trying to withdraw 1,000 dirhams, but my card was blocked. Why was it blocked?
My card is currently blocked - please unblock it.",Card Controls
"I was trying to withdraw 1,000 dirhams, but my card was blocked. Why was it blocked?
My card is currently blocked - please unblock it.",Card Controls
"Please reactivate my card.
I tried to withdraw 1000 dirhams, but the ATM said ”Invalid Card.”
Why is there a problem with my card?",Card Controls
I block my credit card few says ago due to security issue...i want new credit card now,Card Controls
"Please reactivate my card.
I tried to withdraw 1000 dirhams, but the ATM said ”Invalid Card.”
Why is there a problem with my card?",Card Controls
"Please reactivate my card.
I tried to withdraw 1000 dirhams, but the ATM said ”Invalid Card.”
Why is there a problem with my card?",Card Controls
Please activate my account so I can widro the money please,Cardless Cash
Im trying to withdraw money from capital to my debit card,Cardless Cash
Didnt received funds in my account of trasaction made on 18th october,Cardless Cash
Iam sande money to my indian account but not racive my money,Cardless Cash
When I try to do cardless cash it all clear but I don't get code for cardless cash code,Cardless Cash
"Dear Customer, your authorization code for cardless cash withdrawal with Transaction Reference number MBX265513, has been redeemed at Mashreq ATM SDU8169",Cardless Cash
Hi can i ask .just now it happened. It credited funds transfer   6.28.transfer.i didnt   used it my card.for fund transfer.how ot happened,Cardless Cash
Hello! I have a question. I have money on my card but the balance shows 0 aed. I would like to ask what happened to the balance and how is it possible to get the money back.,Cardless Cash
Hello! I have a question. I have money on my card but the balance shows 0 aed. I would like to ask what happened to the balance and how is it possible to get the money back.,Cardless Cash
I am trying to do cardless withdrawal but it's not successful,Cardless Cash
I did that transaction last night 2:44 AM still didn't receive money to my family.,Cardless Cash
"I put cardless cash, cash detected in my account, but cash not I received",Cardless Cash
This transaction is not completed while doing the online purchase . But amount debited from card,Cardless Cash
I make a Cardless withdrawal but I'm having issues with it,Cardless Cash
I have not received money in to my account i have transaction id,Cardless Cash
Please check why my cardless cash is declined and am doing transaction but it's declined,Cardless Cash
I made a transaction of 100aed ro pesa on 26/10/2025 but still yet rhey have not received rhe fund and mashreq bank debited me immediately,Cardless Cash
"I did the cardless withdrawal, but I didn't receive the cash from the machine",Cardless Cash
I can do cardless withdrawal but when I use my card they said I don't have enough money,Cardless Cash
"I sent cardless code to my friend and he told ma code is. Invalid, but I received message from Mashreq already withdraw with atm number sdu 8249",Cardless Cash
I need to speak with them somebody is taking money out of my card,Cardless Cash
I'm trying for cardless cash. The OTP not receiving,Cardless Cash
I have not received a amount which have been credited to ne yesterday,Cardless Cash
There is now transactions with draw but cash not came,Cardless Cash
Can cardless withdrawal receipt showing my account balance?,Cardless Cash
"My sari is also worn, but I can't get money from my card.",Cardless Cash
I should have receive money for shein wallet but i still haven't why,Cardless Cash
I didn't lost my card but it's showing freeze so I can't transfer my money,Cardless Cash
I request for cardless withdrawal but I not receive 6 digital PIN code,Cardless Cash
I want withdrawal from cardless but I not receive 6 digital PIN codes,Cardless Cash
Hi ?? sir I'm out side uae I need to withdraw money with cardless but no working,Cardless Cash
"Hello,

I have an issue with my debit card. I tried to transfer money from my PayPal account but it was rejected. PayPal told me this is a bank issue.

Here is their reply:

I have reviewed your account and understand how important it is for you to withdraw your funds. I can see that you were unable to withdraw the amount of 1000.00 USD.

Please note that PayPal does not directly authorize payments. Instead we rely on the authorization response provided by your card issuer.

This means that PayPal does not decide whether to approve or decline a withdrawal. Therefore I recommend contacting your card issuer again and asking to speak directly with their Online Authorizations Department to resolve this issue.

Once you have spoken with them you may be able to complete your withdrawal successfully.

Could you please help me resolve this issue?

Thank you
Ahmed Elbanna",Cardless Cash
"Hello, I would like to ask how to get a debit card that allows me to withdraw money from ATMs. Is it issued automatically with my account, or do I need to request it separately?",Cardless Cash
Why my cardless system is not working for me,Cardless Cash
I can't receive my amount someone sent from EAnd money,Cardless Cash
I have been credited 2 transaction. For 20 and 50dhirams but receiver hasn't received any money,Cardless Cash
How can i  withdraw and deposit cash from non mashreq atm,Cardless Cash
I want to know that why my cardless transaction is blocked,Cardless Cash
"My concern is that my physical debit card ending with 7585 is not activated, and I urgently need to withdraw money today. I already tried to activate it in the app, but it shows a technical error. Please connect me to a human customer service representative immediately.",Cardless Cash
I just sent money from my PayPal account on 16th of October so still isn't received?,Cardless Cash
"I did a purchase on temu 
And then cancled the order 
But i have not received that amount in my account",Cardless Cash
Last sunday 12 th october some one mis use my card i alredy raise my complaints but still now i am not resiving my money,Cardless Cash
I used card in taptap by wrong address still i didn't get back my money,Cardless Cash
I used my debit card to withdraw money but the money didn't come and it was deducted from my account,Cardless Cash
I didn't receive debit card any other way I can withdraw money,Cardless Cash
"I'm unable to use by debit card, while withdraw money",Cardless Cash
"Yesterday night i make one transaction. 
From.there successful showing but until in this acount i didn't received",Cardless Cash
"I wanted to get some money and used the card. The money was deducted, but the amount did not appear.",Cardless Cash
I was received  reference number for cash so how can i get this cash,Cardless Cash
I'm unable to withdraw my deposit from exness back to my debit card from which i deposited money,Cardless Cash
i want to increase my deposit limit because it's only 12000,Cash Deposit Limit Increase Request
"Hi, I would like to request increase my deposit cash limit from 25k to 100k",Cash Deposit Limit Increase Request
Can you increase the cash deposit limit in my account. Its 0 now,Cash Deposit Limit Increase Request
"I need to increase my cash withdrawal limit, not the deposit limit. 
Please increase the cash withdrawal limit on my card. 
Thank you.",Cash Deposit Limit Increase Request
How to increase my monthly salary in my account,Cash Deposit Limit Increase Request
"I would like to increase my monthly Add Money / cash deposit limit. 
I currently have a 25,000 AED limit and I need a higher limit for personal expenses and rent. 
Please create a request to increase my limit.",Cash Deposit Limit Increase Request
"Hello! I cannot find my monthly Add Money top-up limit in the app.
I would like to increase my monthly top-up limit, as I expect higher incoming transfers.
Could you please help upgrade my limit?
Thank you!",Cash Deposit Limit Increase Request
Hi sir how are you ?? my deposit limit small i want to make deposit alos into my account,Cash Deposit Limit Increase Request
Increase please maximum amount to transaction until 60 000 euro,Cash Deposit Limit Increase Request
I want to exceed my cash deposit limit how can I do that?,Cash Deposit Limit Increase Request
Good morning! How can I extend the amount of the cash deposit?,Cash Deposit Limit Increase Request
i have problem with card and deposit its not about limit,Cash Deposit Limit Increase Request
"I have just received a notification that I have reached my cash deposit limit. I would like to request a temporary increase to allow me to deposit AED 33,500 today.

Could you please advise on the procedure or assist in facilitating this?

Thank you for your assistance.

Account Number
019010183453
REMAN SWIDAN",Cash Deposit Limit Increase Request
Yes increase the maximum amount per transaction also to 50000,Cash Deposit Limit Increase Request
"Hello, I would like to increase my cash deposit limit.
Currently, the machine allows me to deposit only AED 5,000 per transaction.
Kindly increase it to AED 20,000, as it is for my business cash deposits.",Cash Deposit Limit Increase Request
Help me to increase my daily and monthly deposit and withdraw limit,Cash Deposit Limit Increase Request
I want to increase my Daily and monthly deposit and withdraw limi,Cash Deposit Limit Increase Request
My Cash deposit limit is less I want to increase my daily or monthly limit,Cash Deposit Limit Increase Request
I want to extend my deposit limit please let me know what can i do,Cash Deposit Limit Increase Request
Give mashreq bank email i want to increase my daily cash deposit limit,Cash Deposit Limit Increase Request
no its problem with new card deposit not limit,Cash Deposit Limit Increase Request
I want to limit up for deposit because is every month is my limit is finish then I can't deposit so that's why it's possible to give me a more limit for deposit?,Cash Deposit Limit Increase Request
"how i apply for cash deposit limit 
every month my deposit limit is finished. How do I apply for a deposit? Payment? Need to more limit",Cash Deposit Limit Increase Request
I want a daily deposit limit increament and you cannot assist me,Cash Deposit Limit Increase Request
Hello i would like to extend my  deposit limit please,Cash Deposit Limit Increase Request
"How can I increase my deposit limit, because I have one cheque for my flat",Cash Deposit Limit Increase Request
How I can increase my cash deposit transaction  limit from the app ?,Cash Deposit Limit Increase Request
My Deposit limit is too low.i need to increase that limit!!,Cash Deposit Limit Increase Request
I want to increase my deposit and withdraw limit,Cash Deposit Limit Increase Request
I wanted to change the limit of deposit in my account,Cash Deposit Limit Increase Request
My cash deposit is exceeded. I have to increase the limit,Cash Deposit Limit Increase Request
I want to extend my monthly deposit limit for cash,Cash Deposit Limit Increase Request
"Hello 
I wants to extend my cash deposit lonthly limits, how i can donthat?",Cash Deposit Limit Increase Request
I want to increase my deposit limit its just 25000 AED,Cash Deposit Limit Increase Request
"I have a valid Trade License under my name, and I'd like to upgrade to  increase my deposit limit.",Cash Deposit Limit Increase Request
"I have a valid Trade License under my name, and I'd like to upgrade to  increase my deposit limit.",Cash Deposit Limit Increase Request
"I have a valid Trade License under my name, and I'd like to upgrade  to increase my deposit limit.",Cash Deposit Limit Increase Request
My name is Tanveer ahmad  I want to increase my saving account limit min 100000 please can you help me about this issues thanks.,Cash Deposit Limit Increase Request
I want to learn how I can increase my cash deposit limit via atm,Cash Deposit Limit Increase Request
"Good afternoon,
Could you please advise how I can increase my cash deposit limit?

Thank you in advance.",Cash Deposit Limit Increase Request
"Good afternoon,
Could you please advise how I can increase my cash deposit limit?

Thank you in advance.",Cash Deposit Limit Increase Request
"Is it possible to raise the deposit limit to 5,000 thousand for each deposit transaction to make things easier?",Cash Deposit Limit Increase Request
"i won't to increase the
cash deposits now limit 25000  i.wont to 75000",Cash Deposit Limit Increase Request
i won't to increase  the cash deposits limit my accunt,Cash Deposit Limit Increase Request
I am not able to deposit more than 14000 in my account i want to increase this limit how can i do that,Cash Deposit Limit Increase Request
"Good afternoon,
I would like to request an increase in my cash deposit limit at the ATM. Currently, my limit is AED 25,000, but I need it to be increased to AED 100,000.
Thank you in advance for your assistance.",Cash Deposit Limit Increase Request
"Good afternoon,
I would like to request an increase in my cash deposit limit at the ATM. Currently, my limit is AED 25,000, but I need it to be increased to AED 100,000.
Thank you in advance for your assistance.",Cash Deposit Limit Increase Request
I want to extend my debit card deposite and widrawla limit,Cash Deposit Limit Increase Request
Pls check later and let me know how I can increase cash deposit limitation,Cash Deposit Limit Increase Request
I want to increase the amount that I'm paying monthly,Cash Deposit Limit Increase Request
